,teams,home_wins,away_wins,all_wins,draws,losses,number_of_matches,avg_score,wins_percent_weighted,tier_score
0,Abkhazia,4,2,6,4,1,11,1.7272727272727273,0.025963808025177025,0.044846577498033044
1,Afghanistan,2,0,2,2,5,9,1.1111111111111112,0.007081038552321007,0.007867820613690008
2,Albania,7,5,12,4,13,29,1.4827586206896552,0.13690007867820614,0.20298977183320221
3,Alderney,0,1,1,0,2,3,1.6666666666666667,0.0011801730920535012,0.001966955153422502
4,Algeria,10,6,16,7,6,29,1.5862068965517242,0.18253343823760818,0.2895357985837923
5,American Samoa,1,0,1,1,3,5,1.8,0.001966955153422502,0.0035405192761605035
6,Andorra,2,0,2,9,19,30,1.0333333333333334,0.023603461841070022,0.024390243902439025
7,Angola,7,3,10,9,7,26,1.3461538461538463,0.1022816679779701,0.13768686073957515
8,Anguilla,0,0,0,2,11,13,1.0769230769230769,0.0,0.0
9,Antigua and Barbuda,4,3,7,2,8,17,1.9411764705882353,0.04681353265145555,0.09087332808811958
10,Argentina,9,8,17,7,7,31,1.8387096774193548,0.2073170731707317,0.38119590873328085
11,Armenia,8,4,12,7,10,29,1.6206896551724137,0.13690007867820614,0.2218725413060582
12,Artsakh,3,0,3,1,1,5,1.6,0.005900865460267506,0.009441384736428011
13,Aruba,1,0,1,1,10,12,1.3333333333333333,0.004720692368214005,0.006294256490952006
14,Australia,4,7,11,4,6,21,2.0476190476190474,0.09087332808811958,0.18607395751376865
15,Austria,12,8,20,4,8,32,1.75,0.25177025963808025,0.44059795436664045
16,Azerbaijan,2,4,6,11,15,32,1.25,0.07553107789142408,0.0944138473642801
17,Bahamas,3,1,4,2,5,11,1.7272727272727273,0.017309205350118016,0.029897718332022028
18,Bahrain,9,4,13,9,9,31,1.5161290322580645,0.15853658536585366,0.24036191974822974
19,Bangladesh,5,2,7,5,7,19,1.3157894736842106,0.052321007081038554,0.06884343036978757
20,Barawa,3,0,3,0,7,10,1.6,0.011801730920535013,0.018882769472856022
21,Barbados,6,1,7,5,10,22,1.4545454545454546,0.06058221872541306,0.08811959087332809
22,Basque Country,1,0,1,1,0,2,2.0,0.0007867820613690008,0.0015735641227380016
23,Belarus,5,6,11,6,13,30,1.5,0.12981904012588513,0.1947285601888277
24,Belgium,20,11,31,4,3,38,2.3947368421052633,0.4634146341463415,1.1097560975609757
25,Belize,7,1,8,2,7,17,1.4705882352941178,0.05350118017309205,0.07867820613690008
26,Benin,5,2,7,6,6,19,1.3157894736842106,0.052321007081038554,0.06884343036978757
27,Bermuda,5,2,7,2,9,18,1.7222222222222223,0.04956726986624705,0.08536585365853659
28,Bhutan,1,0,1,0,8,9,1.0,0.0035405192761605035,0.0035405192761605035
29,Bolivia,1,2,3,7,16,26,1.2692307692307692,0.030684500393391028,0.038945712037765534
30,Bonaire,1,2,3,1,4,8,1.75,0.00944138473642801,0.016522423288749016
31,Bosnia and Herzegovina,5,4,9,10,13,32,1.4375,0.11329661683713611,0.16286388670338317
32,Botswana,4,5,9,7,8,24,1.4583333333333333,0.08497246262785207,0.12391817466561761
33,Brazil,13,12,25,7,2,34,1.9411764705882353,0.3343823760818253,0.6490952006294256
34,British Virgin Islands,0,0,0,1,9,10,1.3,0.0,0.0
35,Brunei,2,0,2,0,2,4,1.25,0.003147128245476003,0.003933910306845004
36,Bulgaria,5,1,6,8,14,28,1.1785714285714286,0.06608969315499606,0.07789142407553108
37,Burkina Faso,4,4,8,7,5,20,1.2,0.06294256490952006,0.07553107789142408
38,Burma,1,0,1,0,2,3,1.0,0.0011801730920535012,0.0011801730920535012
39,Burundi,1,3,4,7,9,20,1.3,0.03147128245476003,0.040912667191188044
40,Cambodia,2,2,4,3,11,18,1.2222222222222223,0.02832415420928403,0.03461841070023604
41,Cameroon,4,2,6,11,7,24,1.25,0.05664830841856806,0.07081038552321008
42,Canada,8,6,14,0,4,18,3.0,0.0991345397324941,0.2974036191974823
43,Cape Verde,3,3,6,4,4,14,1.5,0.03304484657749803,0.04956726986624704
44,Cascadia,2,2,4,1,2,7,2.7142857142857144,0.011014948859166011,0.02989771833202203
45,Cayman Islands,3,1,4,1,7,12,1.1666666666666667,0.01888276947285602,0.022029897718332022
46,Central African Republic,3,1,4,5,5,14,1.4285714285714286,0.022029897718332022,0.03147128245476003
47,Chad,1,0,1,2,8,11,1.0909090909090908,0.004327301337529504,0.004720692368214004
48,Chagos Islands,0,0,0,0,4,4,1.75,0.0,0.0
49,Chameria,1,1,2,2,1,5,2.0,0.003933910306845004,0.007867820613690008
50,Chile,5,5,10,8,10,28,1.5357142857142858,0.1101494885916601,0.16915814319433517
51,China PR,7,5,12,5,9,26,1.6153846153846154,0.12273800157356411,0.19826907946498817
52,Chinese Taipei,4,1,5,2,11,18,1.2222222222222223,0.03540519276160503,0.043273013375295044
53,Colombia,6,9,15,9,5,29,1.5517241379310345,0.17112509834775766,0.26553894571203773
54,Comoros,1,2,3,8,9,20,1.15,0.023603461841070025,0.02714398111723053
55,Congo,4,1,5,7,5,17,1.2352941176470589,0.033438237608182535,0.04130605822187255
